"Azone","Bzone","Czone","Marea"
67,1,"NA",1
67,2,"NA",1
6,3,"NA",1
69,4,"NA",1
69,5,"NA",1
6,6,"NA",1
69,7,"NA",1
69,8,"NA",1
6,9,"NA",1
6,10,"NA",1
6,11,"NA",1
68,12,"NA",1
69,13,"NA",1
65,14,"NA",1
65,15,"NA",1
65,16,"NA",1
35,17,"NA",0
51,18,"NA",0
11,19,"NA",2
7,20,"NA",1
7,21,"NA",1
7,22,"NA",1
66,23,"NA",1
47,24,"NA",1
47,25,"NA",1
47,26,"NA",1
73,27,"NA",0
58,28,"NA",1
68,29,"NA",1
68,30,"NA",1
21,31,"NA",1
68,32,"NA",1
69,33,"NA",1
69,34,"NA",1
7,35,"NA",1
7,36,"NA",1
69,37,"NA",1
69,38,"NA",1
69,39,"NA",1
69,40,"NA",1
68,41,"NA",1
68,42,"NA",1
67,43,"NA",1
21,44,"NA",1
68,45,"NA",1
68,46,"NA",1
68,47,"NA",1
48,48,"NA",1
48,49,"NA",1
24,50,"NA",2
48,51,"NA",1
48,52,"NA",1
48,53,"NA",1
48,54,"NA",1
30,55,"NA",1
30,56,"NA",1
14,57,"NA",1
30,58,"NA",1
74,59,"NA",0
24,60,"NA",2
30,61,"NA",1
30,62,"NA",1
30,63,"NA",1
11,64,"NA",2
53,65,"NA",2
11,66,"NA",2
55,67,"NA",0
55,68,"NA",0
55,69,"NA",0
35,70,"NA",0
35,71,"NA",0
35,72,"NA",0
35,73,"NA",0
35,74,"NA",0
35,75,"NA",0
35,76,"NA",0
35,77,"NA",0
35,78,"NA",0
51,79,"NA",0
35,80,"NA",0
35,81,"NA",0
35,82,"NA",0
51,83,"NA",0
51,84,"NA",0
51,85,"NA",0
51,86,"NA",0
51,87,"NA",0
43,88,"NA",0
43,89,"NA",0
43,90,"NA",0
43,91,"NA",0
43,92,"NA",0
23,93,"NA",1
43,94,"NA",0
49,95,"NA",1
50,96,"NA",0
10,97,"NA",1
10,98,"NA",1
10,99,"NA",1
10,100,"NA",1
65,101,"NA",1
67,102,"NA",1
49,103,"NA",1
65,104,"NA",1
65,105,"NA",1
74,106,"NA",0
74,107,"NA",0
74,108,"NA",0
74,109,"NA",0
68,110,"NA",1
68,111,"NA",1
68,112,"NA",1
69,113,"NA",1
68,114,"NA",1
69,115,"NA",1
69,116,"NA",1
68,117,"NA",1
21,118,"NA",1
68,119,"NA",1
68,120,"NA",1
69,121,"NA",1
68,122,"NA",1
69,123,"NA",1
69,124,"NA",1
67,125,"NA",1
68,126,"NA",1
64,127,"NA",1
69,128,"NA",1
69,129,"NA",1
68,130,"NA",1
69,131,"NA",1
21,132,"NA",1
68,133,"NA",1
78,134,"NA",0
78,135,"NA",0
78,136,"NA",0
78,137,"NA",0
78,138,"NA",0
78,139,"NA",0
78,140,"NA",0
54,141,"NA",1
78,142,"NA",0
78,143,"NA",0
78,144,"NA",0
54,145,"NA",1
1,146,"NA",1
54,147,"NA",1
78,148,"NA",0
78,149,"NA",0
1,150,"NA",1
78,151,"NA",0
54,152,"NA",1
78,153,"NA",0
1,154,"NA",1
54,155,"NA",1
54,156,"NA",1
1,157,"NA",1
1,158,"NA",1
54,159,"NA",1
54,160,"NA",1
75,161,"NA",0
10,162,"NA",1
75,163,"NA",0
75,164,"NA",0
68,165,"NA",1
68,166,"NA",1
21,167,"NA",1
69,168,"NA",1
69,169,"NA",1
7,170,"NA",1
69,171,"NA",1
68,172,"NA",1
66,173,"NA",1
69,174,"NA",1
1,175,"NA",1
64,176,"NA",1
66,177,"NA",1
65,178,"NA",1
69,179,"NA",1
4,180,"NA",1
65,181,"NA",1
65,182,"NA",1
21,183,"NA",1
64,184,"NA",1
66,185,"NA",1
66,186,"NA",1
7,187,"NA",1
64,188,"NA",1
66,189,"NA",1
67,190,"NA",1
7,191,"NA",1
69,192,"NA",1
67,193,"NA",1
64,194,"NA",1
65,195,"NA",1
7,196,"NA",1
65,197,"NA",1
67,198,"NA",1
66,199,"NA",1
50,200,"NA",0
80,201,"NA",2
19,202,"NA",2
50,203,"NA",0
67,204,"NA",1
67,205,"NA",1
53,206,"NA",2
28,207,"NA",2
53,208,"NA",2
53,209,"NA",2
22,210,"NA",2
53,211,"NA",2
22,212,"NA",2
22,213,"NA",2
66,214,"NA",1
66,215,"NA",1
66,216,"NA",1
66,217,"NA",1
7,218,"NA",1
21,219,"NA",1
7,220,"NA",1
7,221,"NA",1
7,222,"NA",1
21,223,"NA",1
7,224,"NA",1
21,225,"NA",1
68,226,"NA",1
69,227,"NA",1
69,228,"NA",1
68,229,"NA",1
68,230,"NA",1
64,231,"NA",1
68,232,"NA",1
69,233,"NA",1
68,234,"NA",1
68,235,"NA",1
69,236,"NA",1
69,237,"NA",1
69,238,"NA",1
69,239,"NA",1
65,240,"NA",1
7,241,"NA",1
66,242,"NA",1
7,243,"NA",1
65,244,"NA",1
7,245,"NA",1
66,246,"NA",1
67,247,"NA",1
4,248,"NA",1
4,249,"NA",1
21,250,"NA",1
21,251,"NA",1
64,252,"NA",1
4,253,"NA",1
4,254,"NA",1
66,255,"NA",1
64,256,"NA",1
14,257,"NA",1
66,258,"NA",1
65,259,"NA",1
67,260,"NA",1
66,261,"NA",1
64,262,"NA",1
68,263,"NA",1
69,264,"NA",1
64,265,"NA",1
64,266,"NA",1
67,267,"NA",1
67,268,"NA",1
64,269,"NA",1
64,270,"NA",1
68,271,"NA",1
66,272,"NA",1
65,273,"NA",1
66,274,"NA",1
64,275,"NA",1
67,276,"NA",1
5,277,"NA",1
30,278,"NA",1
74,279,"NA",0
74,280,"NA",0
17,281,"NA",1
5,282,"NA",1
64,283,"NA",1
65,284,"NA",1
7,285,"NA",1
21,286,"NA",1
66,287,"NA",1
64,288,"NA",1
65,289,"NA",1
66,290,"NA",1
66,291,"NA",1
67,292,"NA",1
67,293,"NA",1
67,294,"NA",1
67,295,"NA",1
67,296,"NA",1
67,297,"NA",1
67,298,"NA",1
2,299,"NA",1
65,300,"NA",1
65,301,"NA",1
65,302,"NA",1
64,303,"NA",1
49,304,"NA",1
49,305,"NA",1
69,306,"NA",1
69,307,"NA",1
69,308,"NA",1
69,309,"NA",1
69,310,"NA",1
69,311,"NA",1
65,312,"NA",1
67,313,"NA",1
69,314,"NA",1
75,315,"NA",0
75,316,"NA",0
69,317,"NA",1
69,318,"NA",1
69,319,"NA",1
69,320,"NA",1
69,321,"NA",1
68,322,"NA",1
37,323,"NA",0
37,324,"NA",0
37,325,"NA",0
37,326,"NA",0
59,327,"NA",1
32,328,"NA",1
17,329,"NA",1
32,330,"NA",1
59,331,"NA",1
59,332,"NA",1
45,333,"NA",0
45,334,"NA",0
39,335,"NA",0
39,336,"NA",0
39,337,"NA",0
39,338,"NA",0
39,339,"NA",0
45,340,"NA",0
45,341,"NA",0
45,342,"NA",0
45,343,"NA",0
45,344,"NA",0
39,345,"NA",0
45,346,"NA",0
45,347,"NA",0
45,348,"NA",0
45,349,"NA",0
39,350,"NA",0
39,351,"NA",0
45,352,"NA",0
61,353,"NA",2
45,354,"NA",0
30,355,"NA",1
30,356,"NA",1
30,357,"NA",1
37,358,"NA",0
37,359,"NA",0
46,360,"NA",0
46,361,"NA",0
46,362,"NA",0
68,363,"NA",1
68,364,"NA",1
68,365,"NA",1
68,366,"NA",1
68,367,"NA",1
68,368,"NA",1
68,369,"NA",1
68,370,"NA",1
67,371,"NA",1
35,372,"NA",0
65,373,"NA",1
65,374,"NA",1
46,375,"NA",0
46,376,"NA",0
46,377,"NA",0
46,378,"NA",0
46,379,"NA",0
46,380,"NA",0
58,381,"NA",1
32,382,"NA",1
41,383,"NA",0
59,384,"NA",1
32,385,"NA",1
17,386,"NA",1
32,387,"NA",1
17,388,"NA",1
54,389,"NA",1
54,390,"NA",1
54,391,"NA",1
30,392,"NA",1
49,393,"NA",1
75,394,"NA",0
36,395,"NA",0
45,396,"NA",0
61,397,"NA",2
39,398,"NA",0
67,399,"NA",1
67,400,"NA",1
67,401,"NA",1
67,402,"NA",1
13,403,"NA",1
13,404,"NA",1
13,405,"NA",1
67,406,"NA",1
68,407,"NA",1
68,408,"NA",1
68,409,"NA",1
69,410,"NA",1
69,411,"NA",1
69,412,"NA",1
