B_ID,geoid10,PERCENTAGE
376,18179040700,0.00001415
378,18179040700,0.00003536
540,18177010600,0.00002495
539,18177010500,0.00001555
540,18177010500,0.00002378
539,18177010400,0.00003681
539,18177010300,0.00001396
880,18177010300,0.00003262
447,18159020400,0.0000178
448,18159020400,0.00003698
445,18159020400,0.00010946
1063,18159020400,0.99965438
1036,18159020400,0.99980517
1035,18159020400,0.99991288
1065,18159020400,0.99999997
1064,18159020400,0.99999999
1034,18159020400,1
1037,18159020400,1
1309,18159020300,0.00002172
445,18159020300,0.0000221
1305,18159020300,0.00002224
446,18159020300,0.00005709
1035,18159020300,0.00008712
1036,18159020300,0.00011811
1588,18159020300,0.00015898
1063,18159020300,0.00034562
1591,18159020300,0.99978703
448,18159020300,0.99987343
1589,18159020300,0.99999978
1589,18159020200,0.00000023
1305,18159020200,0.00002277
1317,18159020200,0.00002332
754,18159020200,0.00003415
1298,18159020200,0.00005288
83,18159020200,0.00013718
743,18159020200,0.00018542
87,18159020200,0.0002951
86,18159020200,0.00053312
445,18159020200,0.99981212
1588,18159020200,0.99984102
446,18159020200,0.99994291
1590,18159020200,1
1204,18159020100,0.00000064
1591,18159020100,0.00003218
83,18159020100,0.00003471
752,18159020100,0.00005004
445,18159020100,0.00005633
1036,18159020100,0.00007672
755,18159020100,0.0000833
742,18159020100,0.99984509
447,18159020100,0.99993564
1592,18159020100,1
854,18145710900,0.00001944
853,18145710900,0.00005817
802,18145710900,0.0000846
1119,18145710900,0.00012671
467,18145710900,0.00014194
466,18145710900,0.00018744
451,18145710900,0.00030902
450,18145710900,0.00035867
684,18145710900,0.99987835
813,18145710900,0.99988735
807,18145710900,0.99989757
452,18145710800,0.00003203
807,18145710800,0.00003261
778,18145710800,0.00003819
809,18145710800,0.00005735
854,18145710800,0.00006045
787,18145710800,0.00007518
1348,18145710800,0.00007911
801,18145710800,0.00008933
1325,18145710800,0.00015415
685,18145710800,0.00067562
463,18145710800,0.00091606
1120,18145710800,0.00111068
466,18145710800,0.99978545
467,18145710800,0.99985802
1119,18145710800,0.99986349
