"Geo","Year","VanPropDiesel","VanPropGasoline","VanPropCng","RailPropGasoline","RailPropDiesel","BusPropDiesel","BusPropGasoline","BusPropCng"
0,2019,0,1,0,0,1,1,0,0
0,2050,0,1,0,0,1,1,0,0
1,2019,0,1,0,0,1,1,0,0
1,2050,0,1,0,0,1,0.692041522491349,0.307958477508651,0
2,2019,0,1,0,0,1,1,0,0
2,2050,0,1,0,0,1,1,0,0
