"Marea","MPR","FwyCapacityMultiplier","ArtCapacityMultiplier"
0,0,1,1
0,0.2,1.04,1
0,0.4,1.15,1
0,0.6,1.3,1
0,0.8,1.45,1.01
0,1,1.54,1.01
1,0,1,1
1,0.2,1.04,1
1,0.4,1.15,1
1,0.6,1.3,1
1,0.8,1.45,1.01
1,1,1.54,1.01
2,0,1,1
2,0.2,1.04,1
2,0.4,1.15,1
2,0.6,1.3,1
2,0.8,1.45,1.01
2,1,1.54,1.01
