"Year","AVConstant","AVFracAge20to29Coef","AVFracAge55to64Coef","AVFracAge65pCoef","AVKidsCoef","AVHHIncBelow50KCoef","AVHHIncAboce100KCoef","AVDistToWrkCoef"
2019,-100,-0.5,0.5,0.25,-0.25,-1,1,-0.01
2050,-1.5,0.5,-0.5,-1,0.25,-0.5,1,0.01
