"Year","CSConstant","CSFracAge20to29Coef","CSFracAge55to64Coef","CSFracAge65pCoef","CSLowCarSvcFlagCoef","CSHHIncBelow50KFlagCoef","CSHHIncAbove100KFlagCoef","CSD1BCoef"
2019,-0.5,0.5,-0.5,-1,-1.5,0.25,-0.25,2e-04
2050,-0.5,0.5,-0.5,-1,-1.5,0.25,-0.25,2e-04
