"Geo","Year","D4c"
1,2019,20
1,2050,36
2,2019,26.6666666666667
2,2050,48
3,2019,0
3,2050,2
4,2019,6
4,2050,4
5,2019,11
5,2050,18
6,2019,8
6,2050,22
7,2019,28
7,2050,8
8,2019,22
8,2050,28
9,2019,22
9,2050,32
10,2019,12
10,2050,20
11,2019,8
11,2050,20
12,2019,17
12,2050,26
13,2019,0
13,2050,0
14,2019,0
14,2050,16
15,2019,6.66666666666667
15,2050,28
16,2019,0
16,2050,12
17,2019,0
17,2050,0
18,2019,0
18,2050,0
19,2019,2.11464679011318
19,2050,2.3261114691245
20,2019,0
20,2050,0
21,2019,12
21,2050,20
22,2019,4
22,2050,0
23,2019,8
23,2050,24
24,2019,0
24,2050,0
25,2019,0
25,2050,0
26,2019,0
26,2050,0
27,2019,0
27,2050,0
28,2019,0
28,2050,0
29,2019,0
29,2050,0
30,2019,0
30,2050,0
31,2019,8
31,2050,12
32,2019,6
32,2050,4
33,2019,0
33,2050,0
34,2019,36
34,2050,56
35,2019,6
35,2050,8
36,2019,6
36,2050,8
37,2019,6
37,2050,16
38,2019,0
38,2050,2
39,2019,18
39,2050,20
40,2019,11
40,2050,20
41,2019,6
41,2050,8
42,2019,4
42,2050,4
43,2019,44
43,2050,66
44,2019,0
44,2050,0
45,2019,12
45,2050,16
46,2019,0
46,2050,0
47,2019,2
47,2050,4
48,2019,0
48,2050,0
49,2019,0
49,2050,0
50,2019,0
50,2050,0
51,2019,0
51,2050,0
52,2019,0
52,2050,0
53,2019,0
53,2050,0
54,2019,0
54,2050,0
55,2019,0
55,2050,0
56,2019,0
56,2050,0
57,2019,0
57,2050,0
58,2019,0
58,2050,0
59,2019,0
59,2050,0
60,2019,0
60,2050,0
61,2019,0
61,2050,0
62,2019,0
62,2050,0
63,2019,0
63,2050,0
64,2019,0.144433050773908
64,2050,0.158876355851299
65,2019,0
65,2050,0
66,2019,1.6749101843991
66,2050,1.84240120283901
67,2019,0
67,2050,0
68,2019,0
68,2050,0
69,2019,0
69,2050,0
70,2019,0
70,2050,0
71,2019,0
71,2050,0
72,2019,0
72,2050,0
73,2019,0
73,2050,0
74,2019,0
74,2050,0
75,2019,0
75,2050,0
76,2019,0
76,2050,0
77,2019,0
77,2050,0
78,2019,0
78,2050,0
79,2019,0
79,2050,0
80,2019,0
80,2050,0
81,2019,0
81,2050,0
82,2019,0
82,2050,0
83,2019,0
83,2050,0
84,2019,0
84,2050,0
85,2019,0
85,2050,0
86,2019,0
86,2050,0
87,2019,0
87,2050,0
88,2019,0
88,2050,0
89,2019,0
89,2050,0
90,2019,0
90,2050,0
91,2019,0
91,2050,0
92,2019,0
92,2050,0
93,2019,0
93,2050,0
94,2019,0
94,2050,0
95,2019,0
95,2050,0
96,2019,0
96,2050,0
97,2019,1
97,2050,4
98,2019,0
98,2050,0
99,2019,0
99,2050,0
100,2019,0
100,2050,0
101,2019,0
101,2050,0
102,2019,6
102,2050,16
103,2019,0
103,2050,0
104,2019,4
104,2050,4
105,2019,4
105,2050,4
106,2019,0
106,2050,0
107,2019,0
107,2050,0
108,2019,0
108,2050,0
109,2019,0
109,2050,0
110,2019,0
110,2050,0
111,2019,3
111,2050,7
112,2019,12
112,2050,16
113,2019,0
113,2050,0
114,2019,8
114,2050,12
115,2019,4
115,2050,8
116,2019,2
116,2050,10
117,2019,8
117,2050,12
118,2019,2
118,2050,0
119,2019,8
119,2050,12
120,2019,6
120,2050,8
121,2019,0
121,2050,2
122,2019,2
122,2050,4
123,2019,0
123,2050,0
124,2019,26
124,2050,36
125,2019,14.6666666666667
125,2050,20
126,2019,0
126,2050,0
127,2019,0
127,2050,0
128,2019,16
128,2050,20
129,2019,0
129,2050,0
130,2019,0
130,2050,0
131,2019,5
131,2050,8
132,2019,10
132,2050,12
133,2019,12
133,2050,16
134,2019,0
134,2050,0
135,2019,0
135,2050,0
136,2019,0
136,2050,0
137,2019,0
137,2050,0
138,2019,0
138,2050,0
139,2019,0
139,2050,0
140,2019,0
140,2050,0
141,2019,0
141,2050,0
142,2019,0
142,2050,0
143,2019,0
143,2050,0
144,2019,0
144,2050,0
145,2019,0
145,2050,0
146,2019,0
146,2050,0
147,2019,0
147,2050,0
148,2019,0
148,2050,0
149,2019,0
149,2050,0
150,2019,0
150,2050,0
151,2019,0
151,2050,0
152,2019,0
152,2050,0
153,2019,0
153,2050,0
154,2019,0
154,2050,0
155,2019,0
155,2050,0
156,2019,0
156,2050,0
157,2019,0
157,2050,0
158,2019,0
158,2050,0
159,2019,0
159,2050,0
160,2019,0
160,2050,0
161,2019,0
161,2050,0
162,2019,0
162,2050,0
163,2019,0
163,2050,0
164,2019,0
164,2050,0
165,2019,4
165,2050,4
166,2019,12
166,2050,16
167,2019,0
167,2050,0
168,2019,0
168,2050,0
169,2019,0
169,2050,0
170,2019,0
170,2050,0
171,2019,2
171,2050,4
172,2019,8
172,2050,12
173,2019,10
173,2050,4
174,2019,28
174,2050,34
175,2019,0
175,2050,0
176,2019,0
176,2050,0
177,2019,0
177,2050,0
178,2019,4
178,2050,4
179,2019,0
179,2050,0
180,2019,24
180,2050,40
181,2019,0
181,2050,0
182,2019,12
182,2050,16
183,2019,8
183,2050,12
184,2019,6
184,2050,12
185,2019,26
185,2050,44
186,2019,30
186,2050,40
187,2019,0
187,2050,0
188,2019,1
188,2050,4
189,2019,0
189,2050,12
190,2019,22
190,2050,28
191,2019,0
191,2050,8
192,2019,0
192,2050,0
193,2019,10
193,2050,32
194,2019,4
194,2050,4
195,2019,2.66666666666667
195,2050,12
196,2019,0
196,2050,0
197,2019,0
197,2050,12
198,2019,27
198,2050,52
199,2019,22
199,2050,28
200,2019,0
200,2050,0
201,2019,0
201,2050,0
202,2019,0
202,2050,0
203,2019,0
203,2050,0
204,2019,8.66666666666667
204,2050,24
205,2019,10
205,2050,16
206,2019,1.20967393933211
206,2050,1.33064133326533
207,2019,0
207,2050,0
208,2019,0
208,2050,0
209,2019,0
209,2050,0
210,2019,0
210,2050,0
211,2019,0
211,2050,0
212,2019,0
212,2050,0
213,2019,0
213,2050,0
214,2019,30
214,2050,42
215,2019,2
215,2050,4
216,2019,16
216,2050,18
217,2019,16
217,2050,18
218,2019,4
218,2050,8
219,2019,0
219,2050,8
220,2019,0
220,2050,0
221,2019,0
221,2050,8
222,2019,4
222,2050,8
223,2019,0
223,2050,0
224,2019,0
224,2050,0
225,2019,0
225,2050,0
226,2019,2
226,2050,4
227,2019,4
227,2050,8
228,2019,36
228,2050,56
229,2019,0
229,2050,0
230,2019,0
230,2050,0
231,2019,0
231,2050,0
232,2019,16
232,2050,16
233,2019,0
233,2050,0
234,2019,0
234,2050,0
235,2019,0
235,2050,0
236,2019,0
236,2050,0
237,2019,0
237,2050,0
238,2019,0
238,2050,0
239,2019,0
239,2050,0
240,2019,0
240,2050,12
241,2019,4
241,2050,0
242,2019,22
242,2050,28
243,2019,0
243,2050,20
244,2019,2.66666666666667
244,2050,12
245,2019,0
245,2050,20
246,2019,22
246,2050,28
247,2019,10
247,2050,30
248,2019,56
248,2050,100
249,2019,76.6666666666667
249,2050,152
250,2019,0
250,2050,8
251,2019,0
251,2050,8
252,2019,0
252,2050,0
253,2019,38
253,2050,48
254,2019,76.6666666666667
254,2050,152
255,2019,8
255,2050,12
256,2019,9
256,2050,16
257,2019,36
257,2050,20
258,2019,12
258,2050,16
259,2019,0
259,2050,16
260,2019,8
260,2050,14
261,2019,0
261,2050,0
262,2019,4
262,2050,4
263,2019,1
263,2050,2
264,2019,0
264,2050,0
265,2019,8
265,2050,24
266,2019,10
266,2050,12
267,2019,10
267,2050,16
268,2019,12.6666666666667
268,2050,32
269,2019,8
269,2050,24
270,2019,4
270,2050,4
271,2019,3
271,2050,7
272,2019,2
272,2050,20
273,2019,0
273,2050,8
274,2019,2
274,2050,4
275,2019,4
275,2050,4
276,2019,6
276,2050,8
277,2019,10
277,2050,12
278,2019,0
278,2050,0
279,2019,0
279,2050,0
280,2019,0
280,2050,0
281,2019,0
281,2050,0
282,2019,8
282,2050,24
283,2019,0
283,2050,0
284,2019,6.66666666666667
284,2050,24
285,2019,0
285,2050,0
286,2019,0
286,2050,0
287,2019,0
287,2050,0
288,2019,0
288,2050,16
289,2019,0
289,2050,0
290,2019,12
290,2050,16
291,2019,0
291,2050,0
292,2019,10
292,2050,16
293,2019,18
293,2050,24
294,2019,10
294,2050,12
295,2019,14
295,2050,20
296,2019,6
296,2050,12
297,2019,8
297,2050,8
298,2019,2
298,2050,4
299,2019,2
299,2050,16
300,2019,2
300,2050,4
301,2019,2
301,2050,4
302,2019,2
302,2050,4
303,2019,0
303,2050,4
304,2019,0
304,2050,0
305,2019,0
305,2050,0
306,2019,10
306,2050,20
307,2019,6
307,2050,24
308,2019,8
308,2050,28
309,2019,12
309,2050,20
310,2019,14
310,2050,20
311,2019,14
311,2050,20
312,2019,22
312,2050,32
313,2019,14.6666666666667
313,2050,20
314,2019,0
314,2050,0
315,2019,0
315,2050,0
316,2019,0
316,2050,0
317,2019,16
317,2050,40
318,2019,0
318,2050,0
319,2019,0
319,2050,24
320,2019,36
320,2050,56
321,2019,28
321,2050,44
322,2019,2
322,2050,4
323,2019,0
323,2050,0
324,2019,0
324,2050,0
325,2019,0
325,2050,0
326,2019,0
326,2050,0
327,2019,0
327,2050,0
328,2019,0
328,2050,0
329,2019,0
329,2050,0
330,2019,0
330,2050,0
331,2019,0
331,2050,0
332,2019,0
332,2050,0
333,2019,0
333,2050,0
334,2019,0
334,2050,0
335,2019,0
335,2050,0
336,2019,0
336,2050,0
337,2019,0
337,2050,0
338,2019,0
338,2050,0
339,2019,0
339,2050,0
340,2019,0
340,2050,0
341,2019,0
341,2050,0
342,2019,0
342,2050,0
343,2019,0
343,2050,0
344,2019,0
344,2050,0
345,2019,0
345,2050,0
346,2019,0
346,2050,0
347,2019,0
347,2050,0
348,2019,0
348,2050,0
349,2019,0
349,2050,0
350,2019,0
350,2050,0
351,2019,0
351,2050,0
352,2019,0
352,2050,0
353,2019,0
353,2050,0
354,2019,0
354,2050,0
355,2019,0
355,2050,0
356,2019,0
356,2050,0
357,2019,0
357,2050,0
358,2019,0
358,2050,0
359,2019,0
359,2050,0
360,2019,0
360,2050,0
361,2019,0
361,2050,0
362,2019,0
362,2050,0
363,2019,0
363,2050,0
364,2019,8
364,2050,12
365,2019,4
365,2050,4
366,2019,12
366,2050,16
367,2019,14
367,2050,16
368,2019,0
368,2050,0
369,2019,4
369,2050,4
370,2019,4
370,2050,4
371,2019,22
371,2050,32
372,2019,0
372,2050,0
373,2019,6.66666666666667
373,2050,24
374,2019,6.66666666666667
374,2050,24
375,2019,0
375,2050,0
376,2019,0
376,2050,0
377,2019,0
377,2050,0
378,2019,0
378,2050,0
379,2019,0
379,2050,0
380,2019,0
380,2050,0
381,2019,0
381,2050,0
382,2019,0
382,2050,0
383,2019,0
383,2050,0
384,2019,0
384,2050,0
385,2019,0
385,2050,12
386,2019,0
386,2050,0
387,2019,0
387,2050,12
388,2019,0
388,2050,0
389,2019,0
389,2050,0
390,2019,0
390,2050,0
391,2019,0
391,2050,0
392,2019,0
392,2050,0
393,2019,0
393,2050,0
394,2019,0
394,2050,0
395,2019,0
395,2050,0
396,2019,0
396,2050,0
397,2019,0
397,2050,0
398,2019,0
398,2050,0
399,2019,2
399,2050,2
400,2019,4
400,2050,6
401,2019,2
401,2050,2
402,2019,6.66666666666667
402,2050,6
403,2019,4
403,2050,10
404,2019,2
404,2050,8
405,2019,2
405,2050,8
406,2019,2
406,2050,4
407,2019,10
407,2050,16
408,2019,8
408,2050,8
409,2019,4
409,2050,4
410,2019,14
410,2050,20
411,2019,26
411,2050,24
412,2019,14
412,2050,20
413,2019,30
413,2050,36
414,2019,26
414,2050,34
415,2019,0
415,2050,0
416,2019,0
416,2050,0
417,2019,0
417,2050,0
418,2019,0
418,2050,0
419,2019,0
419,2050,0
420,2019,0
420,2050,0
421,2019,0
421,2050,0
422,2019,0
422,2050,0
423,2019,0
423,2050,0
424,2019,14
424,2050,26
425,2019,2
425,2050,10
426,2019,2
426,2050,10
427,2019,0
427,2050,0
428,2019,0
428,2050,0
429,2019,0
429,2050,0
430,2019,0
430,2050,0
431,2019,0
431,2050,0
432,2019,0
432,2050,0
433,2019,0
433,2050,0
434,2019,0
434,2050,0
435,2019,0
435,2050,0
436,2019,0
436,2050,0
437,2019,0
437,2050,0
438,2019,0
438,2050,0
439,2019,0
439,2050,0
440,2019,0
440,2050,0
441,2019,0
441,2050,0
442,2019,0
442,2050,0
443,2019,0
443,2050,0
444,2019,0
