"Geo","Year","DRRevMi","MBRevMi","RBRevMi","VPRevMi","MGRevMi","SRRevMi","HRRevMi","CRRevMi"
1,2019,3404297,7763174,304572,439273,0,0,0,0
2,2019,99657,335030,0,0,0,0,0,0
0,2019,0,0,0,0,0,0,0,0
1,2050,3404297,12978450.5876908,1011291.36893149,439273,0,0,0,0
2,2050,109622.7,368533,0,0,0,0,0,0
0,2050,0,0,0,0,0,0,0,0
