"Geo","Year","HighCarSvcCost.2020","LowCarSvcCost.2020","AveCarSvcVehicleAge","AutoCarSvcSubProp","LtTrkCarSvcSubProp","ShdCarSvcCost.2020","UnShdCarSvcCost.2020","LowCarSvcDeadheadProp","HighCarSvcDeadheadProp","ShdCarSvcDeadheadFactor","UnShdCarSvcDeadheadFactor"
1,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
2,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
3,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
4,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
5,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
6,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
7,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
8,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
9,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
10,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
11,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
12,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
13,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
14,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
15,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
16,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
17,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
18,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
19,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
20,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
21,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
22,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
23,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
24,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
25,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
26,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
27,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
28,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
29,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
30,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
31,2019,2,3.5,6,0.95,0.75,2,2,0,1,1,1
