"Year","AutoPropGasoline","AutoPropDiesel","AutoPropCng","LtTrkPropGasoline","LtTrkPropDiesel","LtTrkPropCng"
1990,0.996066089693155,0.003933910306845,0,0.989880251712045,0.0101197482879546,0
1991,0.996280223186609,0.0037197768133912,0,0.989880251712045,0.0101197482879546,0
1992,0.996941896024465,0.00305810397553517,0,0.989880251712045,0.0101197482879546,0
1993,0.997405293201868,0.00259470679813181,0,0.989880251712045,0.0101197482879546,0
1994,0.998828125,0.001171875,0,0.989880251712045,0.0101197482879546,0
1995,0.998015873015873,0.00198412698412698,0,0.989880251712045,0.0101197482879546,0
1996,0.998130341880342,0.0016025641025641,0.000267094017094017,0.989880251712045,0.0101197482879546,0
1997,0.998472991028822,0.00152700897117771,0,0.989880251712045,0.0101197482879546,0
1998,0.995674869500373,0.00432513049962714,0,0.989880251712045,0.0101197482879546,0
1999,0.997141600703606,0.00285839929639402,0,0.989880251712045,0.0101197482879546,0
2000,0.99561625358287,0.00438374641713033,0,0.989880251712045,0.0101197482879546,0
2001,0.994788608338227,0.00513799177921315,7.33998825601879e-05,0.989880251712045,0.0101197482879546,0
2002,0.994259988745076,0.00574001125492403,0,0.989880251712045,0.0101197482879546,0
2003,0.994789093032658,0.00521090696734199,0,0.989880251712045,0.0101197482879546,0
2004,0.996553614788126,0.00344638521187436,0,0.989880251712045,0.0101197482879546,0
2005,0.996271857472781,0.00366215770372814,6.59848234905972e-05,0.989880251712045,0.0101197482879546,0
2006,0.995359224990573,0.00464077500942657,0,0.988693711225283,0.0113062887747173,0
2007,0.999809205819223,0.000166944908180301,2.38492725971858e-05,0.98750717073852,0.01249282926148,0
2008,0.999610663246611,0.00038933675338952,0,0.986320630251757,0.0136793697482426,0
2009,0.998611035459448,0.00138896454055232,0,0.985134089764995,0.0148659102350053,0
2010,0.998252292369939,0.00162800162800163,0.000119706002058943,0.983947549278232,0.016052450721768,0
2011,0.99406992637009,0.00590802874652793,2.20448833825669e-05,0.982047566537169,0.0179524334628315,0
2012,0.992225751539933,0.00763385571135251,0.000140392748714529,0.980147583796105,0.019852416203895,0
2013,0.991129625091889,0.00885403904271829,1.63358653924692e-05,0.978247601055042,0.0217523989449584,0
2014,0.986275290330397,0.0137247096696031,0,0.976347618313978,0.0236523816860219,0
2015,0.990497629020056,0.00950237097994354,0,0.974447635572915,0.0255523644270854,0
2016,0.999626020194909,0.000373979805090525,0,0.974447635572915,0.0255523644270854,0
2017,0.998854157117976,0.00114584288202402,0,0.974447635572915,0.0255523644270854,0
2018,0.999243394249796,0.000756605750203701,0,0.974337803375317,0.0255523644270854,0.000109832197597758
2019,0.999899749373434,0.000100250626566416,0,0.970084664675694,0.029802074574502,0.000113260749804285
2020,1,0,0,0.974866379009747,0.0249780502153851,0.000155570774867631
2021,1,0,0,0.974767492453702,0.0251441274848394,8.8380061458135e-05
2022,0.999940504521656,5.94954783436459e-05,0,0.975608094583707,0.0242968709263424,9.50344899507335e-05
2023,0.999567847882455,0.000432152117545376,0,0.976125677583783,0.0237782680110014,9.60544052151138e-05
2024,0.999567847882455,0.000432152117545376,0,0.977001520602558,0.0229375876376196,6.0891759822602e-05
2025,0.999963068437109,9.74734454156975e-06,2.71842183493386e-05,0.987568700577539,0.0124260160058692,5.28341659204982e-06
2026,0.999964967694844,9.62246743108968e-06,2.54098377248097e-05,0.987146580249373,0.0128481312526728,5.28849795382988e-06
2027,0.999965520740475,9.80835174331469e-06,2.46709077818535e-05,0.986665812269475,0.0133288187774086,5.36895311588536e-06
2028,0.999965602029901,1.07919920185637e-05,2.36059780807541e-05,0.985783844854463,0.0142107732256457,5.38191989148652e-06
2029,0.999966006725009,1.06050085729943e-05,2.33882664183514e-05,0.986029766054919,0.0139647770660375,5.4568790435122e-06
2030,0.999966356442514,1.05389457184487e-05,2.31046117673682e-05,0.986108666826904,0.0138858383304157,5.49484268022739e-06
2031,0.999966751742813,1.03724633802662e-05,2.28757938066103e-05,0.986394924886474,0.0135995733580168,5.50175550939716e-06
2032,0.99996711223961,1.0299157239674e-05,2.25886031505608e-05,0.986361283795119,0.0136331046308735,5.61157400737283e-06
2033,0.999967379434269,1.01730537059924e-05,2.24475120253096e-05,0.986418865841214,0.0135754963601209,5.63779866468683e-06
2034,0.999967439170054,1.02270746353988e-05,2.23337553103723e-05,0.986305742750909,0.0136885571789106,5.70007017990949e-06
2035,0.999967531339298,1.01923630316263e-05,2.22762976699468e-05,0.986339185486273,0.0136551075442841,5.70696944287669e-06
2036,0.999967319420728,1.04001789220726e-05,2.22804003494593e-05,0.985969458965875,0.0140246756681387,5.865365986203e-06
2037,0.999967025070424,1.0493139100842e-05,2.24817904751502e-05,0.985904195353327,0.0140899114119837,5.89323468933277e-06
2038,0.999966887258045,1.06199667377702e-05,2.24927752175438e-05,0.985764739984634,0.0142293185505963,5.94146476974607e-06
2039,0.999966603993351,1.08462956517101e-05,2.25497109973314e-05,0.985487908262006,0.0145060525165881,6.0392214060111e-06
2040,0.999966184652674,1.10072684511088e-05,2.28080788748342e-05,0.985362540428156,0.0146313549546107,6.10461723348325e-06
2041,0.999966071727237,1.10557980223614e-05,2.28724747407353e-05,0.985391833957735,0.0146020305277063,6.1355145590726e-06
2042,0.999965819818438,1.12135841947403e-05,2.29665973667786e-05,0.985207409121273,0.0147863560013966,6.23487733070192e-06
2043,0.999965649399515,1.1211093506237e-05,2.31395069783392e-05,0.985315773739762,0.0146779558785917,6.27038164676492e-06
2044,0.999965349541967,1.13755750389219e-05,2.32748829941025e-05,0.985065788927591,0.0149277608579208,6.45021448815446e-06
2045,0.999964950795129,1.14796739406491e-05,2.35695309298204e-05,0.98499512115424,0.0149983218582699,6.55698748985651e-06
2046,0.999964346864888,1.16714580828797e-05,2.3981677029595e-05,0.984800743090422,0.015192417317406,6.83959217153048e-06
2047,0.999963777836019,1.17831135842161e-05,2.44390503968926e-05,0.984761307222539,0.0152317459371137,6.94684034683095e-06
2048,0.999963277806548,1.20060071534302e-05,2.47161862981177e-05,0.984449577458748,0.0155432058603657,7.21668088667927e-06
2049,0.999962785516965,1.22515038727357e-05,2.49629791623901e-05,0.984349827569915,0.0156428488781065,7.32355197860432e-06
2050,0.999962156504653,1.25166588779136e-05,2.53268364693183e-05,0.984008787945556,0.0159836057174135,7.6063370303317e-06
