"Year","HvyTrkIcevMpg","HvyTrkHevMpg","HvyTrkBevMpkwh"
1990,6,6.36,0.408697554
1991,6.02,6.3812,0.408697554
1992,6.04,6.4024,0.408697554
1993,6.06,6.4236,0.408697554
1994,6.08,6.4448,0.408697554
1995,6.1,6.466,0.408697554
1996,6.04,6.4024,0.408697554
1997,5.98,6.3388,0.408697554
1998,5.92,6.2752,0.408697554
1999,5.86,6.2116,0.408697554
2000,5.8,6.148,0.408697554
2001,5.84,6.1904,0.408697554
2002,5.88,6.2328,0.408697554
2003,5.92,6.2752,0.408697554
2004,5.96,6.3176,0.408697554
2005,6,6.36,0.408697554
2006,6.04,6.4024,0.408697554
2007,6.08,6.4448,0.408697554
2008,6.12,6.4872,0.408697554
2009,6.16,6.5296,0.408697554
2010,6.2,6.572,0.408697554
2011,6.202,6.57412,0.4112519138
2012,6.204,6.57624,0.4138062736
2013,6.206,6.57836,0.4163606334
2014,6.208,6.58048,0.4189149932
2015,6.21,6.5826,0.421469353
2016,6.206,6.57836,0.4240237126
2017,6.202,6.57412,0.4265780722
2018,6.198,6.56988,0.4291324318
2019,6.194,6.56564,0.4316867914
2020,6.19,6.5614,0.434241151
2021,6.344,6.72464,0.4380726906
2022,6.498,6.88788,0.4419042302
2023,6.652,7.05112,0.4457357698
2024,6.806,7.21436,0.4495673094
2025,6.96,7.3776,0.453398849
2026,7.1,7.526,0.4597847482
2027,7.24,7.6744,0.4661706474
2028,7.38,7.8228,0.4725565466
2029,7.52,7.9712,0.4789424458
2030,7.66,8.1196,0.485328345
2031,7.794,8.26164,0.4929914242
2032,7.928,8.40368,0.5006545034
2033,8.062,8.54572,0.5083175826
2034,8.196,8.68776,0.5159806618
2035,8.33,8.8298,0.523643741
2036,8.414,8.91884,0.5313068202
2037,8.498,9.00788,0.5389698994
2038,8.582,9.09692,0.5466329786
2039,8.666,9.18596,0.5542960578
2040,8.75,9.275,0.561959137
2041,8.798,9.32588,0.5683450362
2042,8.846,9.37676,0.5747309354
2043,8.894,9.42764,0.5811168346
2044,8.942,9.47852,0.5875027338
2045,8.99,9.5294,0.593888633
2046,9.024,9.56544,0.5989973524
2047,9.058,9.60148,0.6041060718
2048,9.092,9.63752,0.6092147912
2049,9.126,9.67356,0.6143235106
2050,9.16,9.7096,0.61943223
