ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
2038,0.640776019,0.082481752,0.163063822,0.113678407,0.918325479,0.021952889,0.052458019,0.007263614
2039,0.629044684,0.083941606,0.170308503,0.116705206,0.918325479,0.021952889,0.052458019,0.007263614
2040,0.61731335,0.08540146,0.177553185,0.119732006,0.918325479,0.021952889,0.052458019,0.007263614
2041,0.605582015,0.086861314,0.184797866,0.122758805,0.918325479,0.021952889,0.052458019,0.007263614
2042,0.59385068,0.088321168,0.192042548,0.125785605,0.918325479,0.021952889,0.052458019,0.007263614
2043,0.582119345,0.089781022,0.199287229,0.128812404,0.918325479,0.021952889,0.052458019,0.007263614
2044,0.57038801,0.091240876,0.206531911,0.131839203,0.918325479,0.021952889,0.052458019,0.007263614
2045,0.558656675,0.09270073,0.213776592,0.134866003,0.918325479,0.021952889,0.052458019,0.007263614
2046,0.54692534,0.094160584,0.221021274,0.137892802,0.918325479,0.021952889,0.052458019,0.007263614
2047,0.535194005,0.095620438,0.228265955,0.140919602,0.918325479,0.021952889,0.052458019,0.007263614
2048,0.52346267,0.097080292,0.235510637,0.143946401,0.918325479,0.021952889,0.052458019,0.007263614
2049,0.511731335,0.098540146,0.242755318,0.146973201,0.918325479,0.021952889,0.052458019,0.007263614
2050,0.5,0.1,0.25,0.15,0.75,0.0375,0.1375,0.075
