"ModelYear","AutoPropIcev","AutoPropHev","AutoPropBev","AutoPropPhev","LtTrkPropIcev","LtTrkPropHev","LtTrkPropPhev","LtTrkPropBev"
1975,1,0,0,0,1,0,0,0
1976,1,0,0,0,1,0,0,0
1977,1,0,0,0,1,0,0,0
1978,1,0,0,0,1,0,0,0
1979,1,0,0,0,1,0,0,0
1980,1,0,0,0,1,0,0,0
1981,1,0,0,0,1,0,0,0
1982,1,0,0,0,1,0,0,0
1983,1,0,0,0,1,0,0,0
1984,1,0,0,0,1,0,0,0
1985,1,0,0,0,1,0,0,0
1986,1,0,0,0,1,0,0,0
1987,1,0,0,0,1,0,0,0
1988,1,0,0,0,1,0,0,0
1989,1,0,0,0,1,0,0,0
1990,1,0,0,0,1,0,0,0
1991,1,0,0,0,1,0,0,0
1992,1,0,0,0,1,0,0,0
1993,1,0,0,0,1,0,0,0
1994,1,0,0,0,1,0,0,0
1995,1,0,0,0,1,0,0,0
1996,1,0,0,0,1,0,0,0
1997,1,0,0,0,1,0,0,0
1998,1,0,0,0,1,0,0,0
1999,1,0,0,0,1,0,0,0
2000,0.99915697184286,0.000843028157140448,0,0,1,0,0,0
2001,0.998165002935995,0.0018349970640047,0,0,1,0,0,0
2002,0.997918190513701,0.00191301412254543,0.000168795363754009,0,1,0,0,0
2003,0.997125016845604,0.00287498315439558,0,0,1,0,0,0
2004,0.994321297094071,0.00567870290592935,0,0,1,0,0,0
2005,0.984132220499456,0.015768812060832,9.89674397123346e-05,0,1,0,0,0
2006,0.985846457263842,0.0140955364134691,5.80063226891731e-05,0,0.997975624554417,0.0020243754455831,0,0
2007,0.974028142141665,0.0259718578583353,0,0,0.998453541099455,0.00154645890054504,0,0
2008,0.972518035039505,0.0274590633230276,2.29016374670789e-05,0,0.997634303444478,0.00236569655552249,0,0
2009,0.975162045863064,0.0248379541369356,0,0,0.998011064063248,0.00198893593675225,0,0
2010,0.953509527913435,0.046418653643589,7.18184429761563e-05,0,0.998280940852187,0.00171905914781268,0,0
2011,0.970399803932604,0.0287609644289681,0.000264468638427293,0.000574763,0.999292327234548,0.000707672765451633,0,0
2012,0.950297034050581,0.0406753510878903,0.000946753861528482,0.008080861,0.999344711404957,0.000655288595043456,0,0
2013,0.938089716335094,0.0477051959058609,0.00229806375904557,0.011907024,0.998035722552784,0.00196427744721604,0,0
2014,0.944533852047767,0.0421219811141609,0.00255493983807206,0.010789227,0.999466666325051,0.000533333674949259,0,0
2015,0.949329664911797,0.0400588019110621,0.00409775817714076,0.006513775,0.999188829997842,0.000710990002157673,0.00010018,0
2016,0.952388475464098,0.0320709281961471,0.00488178633975482,0.01065881,0.996392098795645,0.00142299376378604,0.002026706,0.000158201440569267
2017,0.927156943404124,0.0500170901219095,0.00567392047396605,0.017152046,0.995552054131557,0.00241489487061613,0.001828574,0.000204476997826733
2018,0.908202568336688,0.0501468198534652,0.0203267098098469,0.021323902,0.992978388218145,0.00339385041625966,0.003414863,0.000212898365595624
2019,0.905526588253666,0.0563702276364349,0.0226656651098991,0.015437519,0.993576624846029,0.00407104674094319,0.002017151,0.000335177413028255
2020,0.876612076531516,0.0501277683134583,0.0290034071550256,0.044256748,0.980455982028464,0.00539119928939472,0.013475456,0.000677362682141753
2021,0.856530056353519,0.0563625204582651,0.033193535188216,0.053913888,0.968262815400033,0.00900897078279436,0.021243974,0.00148423981717288
2022,0.797275891751983,0.0787062898000223,0.0611104904479946,0.062907328,0.954543415412392,0.0122490985539119,0.03042116,0.00278632603369592
2023,0.805014708763179,0.062043795620438,0.0616382806163828,0.071303215,0.936814585757139,0.0174648381019147,0.040866621,0.00485395514094633
2024,0.805014708763179,0.062043795620438,0.0616382806163828,0.071303215,0.918325478970202,0.0219528885269163,0.052458019,0.00726361350288202
2025,0.916559391977203,0.0314199590559312,0.0485728883399152,0.00344776062695066,0.950630045594033,0.0278045197073842,0.0143359888168487,0.00722944588173444
2026,0.910694443671693,0.0321223011012681,0.0531975393099259,0.00398571591711287,0.944693273283313,0.0294702699066515,0.0163339053611134,0.00950255144892203
2027,0.90432694729626,0.0326272036941206,0.0586671793724649,0.00437866963715477,0.939269858682654,0.0309394934402699,0.0179063130120773,0.0118843348649986
2028,0.896948563387105,0.0334032595410121,0.0647855204381141,0.00486265663376883,0.93312337040123,0.0326582852772617,0.0195905679275814,0.0146277763939272
2029,0.889633739458147,0.0339496925957954,0.0712089462661392,0.00520762167991836,0.928011395199103,0.0337811303165387,0.0208003216208277,0.0174071528635301
