"ModelYear","AutoPropIcev","AutoPropHev","AutoPropBev","AutoPropPhev","LtTrkPropIcev","LtTrkPropHev","LtTrkPropPhev","LtTrkPropBev"
2030,0.883390335580921,0.0345511467398681,0.0766408943903946,0.00541762328881584,0.92382951971938,0.0347419601703516,0.0218086797751802,0.0196198403350883
2031,0.879262196979993,0.0354962424540201,0.0796032216137823,0.00563833895220444,0.921270843325539,0.0354757007442719,0.0224868446712931,0.0207666112588956
2032,0.874697730286564,0.0360505384674763,0.0833904731373753,0.00586125810858465,0.918425759403393,0.0361952578638251,0.0232566499469332,0.0221223327858485
2033,0.871063504143648,0.0369534728085552,0.0858712303354237,0.00611179271237305,0.915737273424391,0.0370607782284866,0.0240875587765818,0.0231143895705403
2034,0.867474396730917,0.0379535416637214,0.0881971450760968,0.00637491652926514,0.913148541393684,0.0379374162743993,0.0249096945708222,0.0240043477610947
2035,0.863823846139232,0.0389944409476075,0.090536590747239,0.00664512216592163,0.910595077300958,0.0388087402113318,0.0257250901358235,0.0248710923518863
2036,0.860684471933112,0.0400316325641316,0.0924763955297711,0.00680749997298492,0.908738417292706,0.0394193205715074,0.0262182862361754,0.0256239758996108
2037,0.858198632002716,0.0412235302070462,0.0936313334461917,0.00694650434404572,0.907547428223459,0.0398398145460077,0.0265234619941624,0.0260892952363709
2038,0.855828483092705,0.0424697678623961,0.0946290175360481,0.00707273150885088,0.906540405821132,0.0402109285412976,0.0267733811955498,0.0264752844420203
2039,0.853267705394944,0.0437709122340312,0.0957716878634528,0.00718969450757203,0.905559612041641,0.0405595142774884,0.0269892691029904,0.0268916045778802
2040,0.851637616248394,0.0451194251223732,0.0960019026988671,0.00724105593036615,0.905419226232911,0.0406335687000391,0.0269225307055284,0.0270246743615214
2041,0.849099131435981,0.0461440479185256,0.0973040084153503,0.00745281223014296,0.904497630924,0.0409288934543758,0.0271416430786991,0.0274318325429248
2042,0.846804066157087,0.0468023042097998,0.0987061191514677,0.00768751048164594,0.903432918926007,0.0412481736913604,0.0273946955777982,0.0279242118048347
2043,0.844850754264782,0.0475106373297374,0.0996951925149301,0.00794341589055011,0.902648549564796,0.0414938037261482,0.0275807409369792,0.0282769057720765
2044,0.842925942613035,0.0482355173453442,0.10067629813701,0.00816224190461143,0.901908433804663,0.041717698409388,0.0277147362958906,0.0286591314900588
2045,0.84119527668687,0.0490097458015905,0.101404982057094,0.00838999545444507,0.90133372199449,0.0419019613314201,0.0278109964020006,0.0289533202720894
2046,0.835694065042027,0.0502883713807666,0.10530561968424,0.00871194389296642,0.899795822944037,0.0422813421045864,0.0281159687546335,0.0298068661967434
2047,0.834207773825022,0.0511479893114564,0.105662035267742,0.00898220159578011,0.89922847286485,0.0424518138567955,0.0282192175078174,0.0301004957705374
2048,0.83206006861695,0.051995295020003,0.106719529316005,0.00922510704704215,0.898403763287487,0.0426982889540048,0.0283658156825816,0.030532132075927
2049,0.829166645247897,0.0529127538113247,0.108414240063555,0.00950636087722321,0.897619889421463,0.0428773784384538,0.0284728606165727,0.0310298715235109
2050,0.826962218941394,0.0537607489865905,0.109509053570782,0.00976797850123265,0.89669511427729,0.0431423280923798,0.0286450951120041,0.0315174625183259
