"Year","HvyTrkPropIcev","HvyTrkPropHev","HvyTrkPropBev"
1990,1,0,0
1991,1,0,0
1992,1,0,0
1993,1,0,0
1994,1,0,0
1995,1,0,0
1996,1,0,0
1997,1,0,0
1998,1,0,0
1999,1,0,0
2000,1,0,0
2001,1,0,0
2002,1,0,0
2003,1,0,0
2004,1,0,0
2005,1,0,0
2006,1,0,0
2007,1,0,0
2008,1,0,0
2009,1,0,0
2010,1,0,0
2011,1,0,0
2012,1,0,0
2013,1,0,0
2014,1,0,0
2015,1,0,0
2016,1,0,0
2017,1,0,0
2018,1,0,0
2019,0.996793158738642,0,0.00320684126135756
2020,0.999894581488509,0,0.000105418511490618
2021,0.9997964997965,0.000101750101750102,0.000101750101750102
2022,0.99989786538658,0,0.000102134613420488
2023,0.999806145197247,9.69274013763691e-05,9.69274013763691e-05
2024,0.996837944664032,0.000197628458498024,0.00296442687747036
2025,0.999796763082989,0.000144179732157439,5.90571848533632e-05
2026,0.999724783044481,0.00021202297747404,6.31939780447604e-05
2027,0.999654859857727,0.000278515547476563,6.66245947961066e-05
2028,0.999586876999024,0.000343659841519541,6.94631594560773e-05
2029,0.999521886706233,0.000406422087905797,7.16912058615555e-05
2030,0.999459305784697,0.000467365327073213,7.33288882302711e-05
2031,0.999398822704299,0.00052664142902457,7.45358666759078e-05
2032,0.999338028268,0.000586504277214217,7.54674547856239e-05
2033,0.999276064022942,0.0006479509652258,7.59850118317143e-05
2034,0.999211966848649,0.000711563645801195,7.64695055501633e-05
2035,0.999147850773565,0.000775714422440336,7.64348039949705e-05
2036,0.999083379688506,0.000840617483664306,7.60028278293527e-05
2037,0.999017925386108,0.000906668221482418,7.54063924099802e-05
2038,0.998951325737113,0.000974324326732171,7.43499361546246e-05
2039,0.998881672531257,0.00104491252165338,7.34149470896056e-05
2040,0.998808557469605,0.00111919976251598,7.22427678794817e-05
2041,0.998730280079414,0.0011986709011025,7.1049019483345e-05
2042,0.998651033576983,0.00127938579221236,6.95806308045317e-05
2043,0.998569599206618,0.0013625070769215,6.78937164605041e-05
2044,0.9984863536439,0.0014476420230344,6.60043330651808e-05
2045,0.99840101422741,0.0015349946629197,6.39911096707832e-05
2046,0.998310780390077,0.00162713569458631,6.20839153371283e-05
2047,0.998215660172614,0.00172408898198153,6.02508454045324e-05
2048,0.998115227371185,0.00182646444548208,5.83081833329052e-05
2049,0.998008640315565,0.00193490970684171,5.64499775934586e-05
2050,0.997894860245358,0.00205047311135832,5.4666643283247e-05
