"Year","PropDiesel","PropGasoline","PropLng"
1990,0.815384615384615,0.184615384615385,0
1991,0.852459016393443,0.147540983606557,0
1992,0.813559322033898,0.186440677966102,0
1993,0.855072463768116,0.144927536231884,0
1994,0.803921568627451,0.196078431372549,0
1995,0.798611111111111,0.201388888888889,0
1996,0.906976744186046,0.0930232558139535,0
1997,0.864864864864865,0.135135135135135,0
1998,0.869565217391304,0.130434782608696,0
1999,0.884758364312268,0.115241635687732,0
2000,0.880952380952381,0.119047619047619,0
2001,0.953488372093023,0.0465116279069767,0
2002,0.869565217391304,0.130434782608696,0
2003,0.9,0.1,0
2004,0.925373134328358,0.0746268656716418,0
2005,0.929663608562691,0.0703363914373089,0
2006,0.947658402203857,0.0523415977961433,0
2007,0.942857142857143,0.0571428571428571,0
2008,0.913223140495868,0.0867768595041322,0
2009,0.888157894736842,0.111842105263158,0
2010,0.909090909090909,0.0909090909090909,0
2011,0.867298578199052,0.132701421800948,0
2012,0.926174496644295,0.0738255033557047,0
2013,0.937743190661479,0.0583657587548638,0.00389105058365759
2014,0.943775100401606,0.0522088353413655,0.00401606425702811
2015,0.873972602739726,0.126027397260274,0
2016,0.91044776119403,0.0895522388059701,0
2017,0.88056206088993,0.11943793911007,0
2018,0.964347826086957,0.0352173913043478,0.000434782608695652
2019,0.96521365686064,0.0346789778827571,0.000107365256602963
2020,0.967247754886424,0.032540940306392,0.000211304807184363
2021,0.967922606924644,0.0295315682281059,0.00254582484725051
2022,0.970885688017162,0.0285013790989887,0.000612932883849218
2023,0.971966243088563,0.0274517411970123,0.000582015714424289
2024,0.973423244744149,0.0261800872669576,0.000396667988893296
2025,0.983261862169453,0.00587013286783906,0.0108680049627076
2026,0.983367403811786,0.00538694126176124,0.0112456549264527
2027,0.983401324455171,0.00503302051476146,0.0115656550300674
2028,0.983386719701945,0.00477379462460193,0.011839485673453
2029,0.98335329689311,0.00457221877931767,0.0120744843275719
2030,0.983305480831039,0.00442865715629398,0.0122658620126674
2031,0.983251770671836,0.0043095346329147,0.0124386946952498
2032,0.983159398044249,0.00422771706585094,0.0126128848899001
2033,0.983007591713078,0.00418613544057659,0.0128062728463454
2034,0.982789697949946,0.00417914029907944,0.0130311617509751
2035,0.982534271367902,0.00420130814012603,0.013264420491972
2036,0.98227335253146,0.00422892512326346,0.0134977223452768
2037,0.981977536515703,0.00427814640238887,0.013744317081908
2038,0.981650626613298,0.00434060711582014,0.0140087662708814
2039,0.98128108779416,0.00440769990128332,0.0143112123045569
2040,0.980878094339539,0.00447091547815796,0.0146509901823033
2041,0.98040788218604,0.00454958563244694,0.0150425321815135
2042,0.979967163845519,0.00460439578330288,0.0154284403711778
2043,0.979537156989754,0.00464899292550716,0.015813850084739
2044,0.979094888580142,0.00470025345702278,0.0162048579628349
2045,0.978640507992336,0.00475638262802504,0.016603109379639
2046,0.978165889958375,0.00481844314059768,0.0170156669010272
2047,0.977662186446006,0.00488350520665551,0.0174543083473381
2048,0.977162590053001,0.00495132563599205,0.0178860843110073
2049,0.976643472631447,0.00502040251006167,0.0183361248584915
2050,0.976084480055279,0.0050918757574237,0.0188236441872969
